958	-ay 4	PST.REL	
959	-o 5	OPT	
961	halgaad-	throw\V	H
962	aaran	prosperity\M	L
963	ilaali-	look after\V	
964	-id 2	SBJV.2.SG	
965	qar-	watermelon\M	
966	iil-	turn away\V	
967	dhiidhi-	protest, get angre\V	
968	giir	dapple-gray color\M	
969	miid	juice, filtered liquid\F	
970	ol'ol-	campaign\M	
971	oddoros	perdiction, forecast\M	
972	oggol	accepting\ADJ	
973	moxog	cassava\M	FinT
974	onkod	thunder\M	
975	gob	fig tree\M	
976	-in 1	PROH	
977	ood	brushes; fence\F	
978	oomm-	thirst\M	
979	oom-	nurishment, food\F	
980	-ati	DER\F	
981	oof 2	muscular pain, cramp\F	
982	oodkac	pieces of preserved meat\M	
983	lool	framework for hut\M	
984	mood	porperty\M	
985	mool	deep water\M	
986	oog	big flame(s)\F	
987	oori	wife\F	H
988	doobi	camel milking container\M	
989	udb-	pillar\M	
990	umal	anger\M	
991	ummul	new mother\F	
992	uneex-	(name of plant)\F	
993	muran	quarrel\M	
994	lulm-	sleepiness\F	
995	luuq	alley\M	
996	ugb-	virgin(s)\M.COLL	
997	uf	yuck\INTRJ	
998	-aad 3	DER\M	
999	ujr-	wages, salary\F	
1000	urug 2	deep-seated emotion\F	
1001	dundun	termite mound\F	
1002	luudi	small iron pestle\M	TonF
1003	uur-	dust, smoke\F	
1004	uunsi	incense\M	
1005	uus	contents inside the stomach\M	
1006	uubat-	wolf\F	
1007	uugaan	thunder\M	
1008	uugaab-	request\F	
1009	uud	meadow\M	
1010	-aan 3	DER\M	
1011	duudsi	denial\M	
1012	duul	generation, grup of people\M	H
1013	ciyaar-	game; play\V	
1014	-toy	DER\M	
1015	diid- 1	faint\V	L
1016	diid- 2	refuse	H
1017	daqaaq-	move around\V	L
1018	cad 2	white thing\M	
1019	guud 1	withers\M	
1020	guud 2	common\ADJ	
1021	dum-	thread\F	
1022	bun	coffee\M	
1023	dabool-	cover\M	
1024	cad 3	white\ADJ	
1025	yaab-	is surprised\V	
1026	-ays	DER	
1027	bari	east\M	
1028	duw-	divert\V	
1029	midg-	(a minority clan)	
1030	saraawiil	trousers\PL	
1031	gaadhi	car\M	L, FinT
1032	gawaari	cars\PL	
1033	kuraas	chairs\PL	
1034	cir	sky\M	
1035	tuul-	village\F	
1036	qalbi	heart\M	
1037	wadn-	heart\M	
1038	safar	journey\M	L
1039	fog	distant\ADJ	H
1040	aflaan	films\PL	
1041	hir	wave\M	
1042	dhawaaq	sound\M	
1043	hunug	nose bleed\M	
1044	cas	red\ADJ	
1045	guduud	something red\M	
1046	gal	pond\M	
1047	madow 2	black\ADJ	
1048	moobayl	mobile phone\M	
1049	bisl-	ripe\ADJ	
1050	-ay-	DER\M	
1051	cayriin	something raw\M	
1052	mud-	pierce, inject\V	
1053	dur-	give an injection\V	
1054	hargab	cold, flu\M	
1055	garac-	beat\V	
1056	-m	PASS	
1057	Göteborg	Göteborg\N	
1058	halyey	wolf, hero\M	
1059	bulsh-	society\F	
1060	yey	wolf\M	
1061	cirfiid	evil demon\M	
1062	dhul	earth, soil	
1063	suuq	market\M	
1064	baaddi-	countryside\M	
1065	badh	half\M	
1066	saq	deep sleep, night\F	
1067	dhex	middle\F	
1068	wac-	call\V	
1069	dhagx-	stone\M	
1070	nabad	peace\F	
